max(BA091_AccDaily),max(BA093_AccDaily),max(BA108_AccDaily),max(KE095_AccDaily),max(KE096_AccDaily),max(ME094_AccDaily),max(ME097_AccDaily),max(ME098_AccDaily),max(ME099_AccDaily),max(ME100_AccDaily),max(ME101_AccDaily),max(ME102_AccDaily),max(ME103_AccDaily),max(ME104_AccDaily),max(ME107_AccDaily),the_date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-25
0.22,0.24,0.21,0.16,0,0.2,0.13,0.28,0.02,0,0.2,0.21,0.3,0,0,2014-02-26
0.22,0.24,0.21,0.16,0,0.2,0.13,0.28,0.02,0,0.2,0.21,0.3,0,0,2014-02-27
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-01
0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,2014-03-02
0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,2014-03-03
0.01,0,0.05,0.21,0,0,0.03,0,0.01,0,0.11,0.03,0.01,0,0,2014-03-04
0.01,0,0.05,0.21,0,0,0.03,0,0.01,0,0.11,0.03,0.01,0,0,2014-03-05
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-03-06
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-03-07
0.02,0,0,0.02,0,0.06,0.08,0.1,0.09,0,0.06,0,0.01,0,0,2014-03-08
0,0,0,0.02,0,0.06,0.08,0.1,0.09,0,0.06,0.1,0.09,0,0,2014-03-09
0.14,0.24,0.05,0.03,0,0.2,0.07,0.13,0.05,0,0.1,0.1,0.12,0,0,2014-03-10
0.14,0.24,0.05,0.03,0,0.2,0.07,0.13,0.05,0,0.1,0.09,0.12,0,0,2014-03-11
0,0,0,0.03,0,0.01,0.03,0.03,0.01,0,0.03,0,0,0,0,2014-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-14
0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-03-15
0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-03-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-21
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-03-22
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-03-23
0.19,0.01,0,0.25,0,0,0.13,0,0.45,0,0,0,0,0,0,2014-03-24
0.19,0.01,0,0.25,0,0,0.13,0,0.45,0,0,0,0,0,0,2014-03-25
0.03,0.03,0,0,0,0.36,0.05,0.29,0,0,0.03,0.02,0.02,0,0,2014-03-26
0.02,0.09,0.03,0.05,0,0.36,0.05,0.29,0.04,0,0.08,0.13,0.1,0,0,2014-03-27
0.02,0.09,0.03,0.6,0,0.04,0.05,0.09,0.04,0,0.08,0.13,0.1,0,0,2014-03-28
0,0,0,0.6,0,0,0,0,0,0,0.01,0,0,0,0,2014-03-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-01
0,0,0,0,0,0,0.58,0.58,0,0,0,0,0,0,0,2014-04-02
0,0,0,0,0,0,0.58,0.58,0,0,0,0,0,0,0,2014-04-03
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-05
0.12,0,0,0.16,0,0.03,0.07,0.03,0.37,0,0.05,0,0.02,0,0,2014-04-06
0.51,0,0.53,0.16,0,0.09,0.67,0.04,0.37,0,0.27,0.29,0.06,0,0,2014-04-07
0.51,0.64,0.53,0,0,0.09,0.67,0.04,0.61,0,0.27,0.29,0.59,0,0,2014-04-08
0,0.64,0,0,0,0.01,0,0,0.61,0,0,0,0.59,0,0,2014-04-09
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-13
