max(ME002_AccDaily),max(ME003_AccDaily),max(ME005_AccDaily),max(ME006_AccDaily),max(ME007_AccDaily),max(ME008_AccDaily),max(ME009_AccDaily),max(ME010_AccDaily),max(ME011_AccDaily),max(ME015_AccDaily),max(UV012_AccDaily),max(UV013_AccDaily),max(UV014_AccDaily),max(UV016_AccDaily),max(UV017_AccDaily),max(UV018_AccDaily),max(UV019_AccDaily),the_date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-25
0.47,0.32,0.15,0.6,0.63,0.18,0,0.3,0.42,0.26,0.73,0.48,0,0.61,0.3,0.25,0.39,2014-02-26
0.47,0.32,0.15,0.6,0.63,0.18,0,0.3,0.42,0.26,0.73,0.48,0,0.61,0.3,0.25,0.39,2014-02-27
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,2014-02-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2014-03-01
0,0,0,0,0.01,0,0,0,0,0,0.03,0.06,0,0.01,0,0,0.07,2014-03-02
0,0,0,0,0.01,0,0,0,0,0,0.03,0.06,0,0.01,0,0,0.07,2014-03-03
0,0,0,0,0,0,0,0,0.06,0,0.01,0,0,0,0,0.09,0.01,2014-03-04
0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.09,0.01,2014-03-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-07
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,2014-03-08
0.01,0.02,0.03,0.01,0.01,0.04,0,0.09,0.01,0.02,0.09,0.08,0,0.04,0.03,0.01,0.01,2014-03-09
0.21,0.11,0.07,0.18,0.13,0.09,0,0.11,0.14,0.16,0.11,0.14,0,0.08,0.2,0.05,0.14,2014-03-10
0.21,0.11,0.07,0.18,0.13,0.09,0,0.11,0.14,0.16,0.11,0.14,0,0.08,0.2,0.05,0.14,2014-03-11
0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0.04,0.01,0.01,2014-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,2014-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-15
0.02,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,2014-03-16
0.02,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,2014-03-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-25
0.46,0.21,0.07,0.44,0.21,0.06,0,0.09,0.02,0.26,0.25,0.09,0,0.08,0.13,0,0.17,2014-03-26
0.46,0.21,0.09,0.44,0.21,0.13,0,0.11,0.12,0.26,0.25,0.15,0,0.16,0.13,0.01,0.17,2014-03-27
0.06,0.07,0.09,0.06,0.04,0.13,0,0.11,0.12,0.05,0.12,0.15,0,0.16,0.08,0.01,0.09,2014-03-28
0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,2014-03-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-03-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,2014-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,2014-04-01
0,0,0.25,0.48,0,0,0,0,0,0,0,0,0,0,0,0.02,0,2014-04-02
0,0,0.25,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-03
0.12,0,0.03,0.19,0.09,0,0,0,0,0.66,0.01,0,0,0,0.77,0,0.05,2014-04-04
0.12,0,0,0.19,0.09,0,0,0,0,0.66,0.01,0,0,0,0.77,0,0.05,2014-04-05
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2014-04-06
0.03,0.02,0.16,0.05,0,0.28,0,0.09,0.02,0.01,0,0,0,0,0,0.07,0.02,2014-04-07
0.03,0.02,0.16,0.05,0,0.28,0,0.52,0.55,0.01,0,0,0,0,0,0.07,0.02,2014-04-08
0,0.02,0.01,0,0,0,0,0.52,0.55,0,0,0,0,0,0,0.03,0,2014-04-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-13
0.38,0.97,0.31,0.28,0.93,0.04,0,0.16,0.02,0.05,0.83,0.01,0,0.77,0.06,0,0.54,2014-04-14
0.38,0.97,0.31,0.28,0.93,0.04,0,0.16,0.02,0.05,0.83,0.01,0,0.77,0.06,0,0.54,2014-04-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-19
0,0,0,0,0,0.01,0,0.01,0.08,0,0.06,0,0,0.13,0.01,0.11,0.05,2014-04-20
0,0,0,0,0,0.01,0,0.01,0.08,0,0.06,0,0,0.13,0.01,0.11,0.05,2014-04-21
0,0,0,0,0,0,0,0.01,0.03,0,0.04,0,0,0,0.01,0.02,0,2014-04-22
0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,2014-04-23
0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0.56,0,0.49,2014-04-24
0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0.56,0,0.49,2014-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-08
0.1,0.1,0.23,0.26,0.1,0.4,0,0.7,0.02,0.35,1.2,0,0,0.16,0.67,0.09,0.26,2014-05-09
0.1,0.1,0.23,0.26,0.1,0.4,0,0.7,0.02,0.35,1.2,0,0,0.16,0.67,0.09,0.26,2014-05-10
0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-12
1.57,0.85,1.36,1.35,1.71,1.4,0,2.09,2.52,1.59,1.29,0,0,0.79,0.24,0.49,0.87,2014-05-13
1.57,0.85,1.36,1.35,1.71,1.4,0,2.09,2.52,1.59,1.29,0,0,0.79,0.24,0.49,0.87,2014-05-14
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,2014-05-15
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,2014-05-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-21
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-05-22
0.15,0.16,0.12,0.31,0.27,0.09,0,0.13,0.16,0.38,0.33,0,0,0.27,0.23,0.17,0.32,2014-05-23
0.15,0.16,0.12,0.31,0.27,0.09,0,0.13,0.16,0.38,0.33,0,0,0.27,0.23,0.17,0.32,2014-05-24
0,0.1,0.01,0,0.03,0.03,0,0.12,0.38,0,0.01,0,0,0.14,0.03,0.93,0.02,2014-05-25
1.91,5.43,0.24,3.25,3.26,3.74,0,3.91,2.62,3.81,3.51,0.23,0,3.63,0.23,5.7,2.52,2014-05-26
1.91,5.43,0.24,3.25,3.26,3.74,0,3.91,2.62,3.81,3.51,0.23,0,3.63,0.23,5.7,2.52,2014-05-27
0,0.04,0.05,0,0,0.01,0,0.01,0.05,0,0,0,0,0.55,0.02,0.05,0.01,2014-05-28
0,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0.55,0.02,0,0,2014-05-29
0,0,0.03,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,2014-05-30
0,0,0.03,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,2014-05-31
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-01
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-02
0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-05
0,0,0,0,0.56,0,0,0,0,0.27,0,0,0,0,0,0,0,2014-06-06
0,0,0,0,0.56,0,0,0,0,0.27,0,0,0,0,0,0,0,2014-06-07
0.38,0,0,0.27,0.36,0,0,0.06,0,0.07,0,0,0,0,0,0,0,2014-06-08
0.38,0.04,0.06,0.27,0.36,0.13,0,0.06,0.05,0.06,0,0,0,0.01,0,0.06,0,2014-06-09
0.57,0.58,0.06,0,0,0.25,0,0.06,0.05,0,0,0,0,0.01,0,0.06,0,2014-06-10
0.57,0.58,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,2014-06-11
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-12
0.08,0.12,0.11,0.1,0,0.05,0,0,0,0.42,0.04,0,0,0.37,2.28,0.04,0.37,2014-06-13
0.08,0.12,0.11,0.1,0.01,0.07,0,0,0.93,0.42,0.04,0,0,0.37,2.28,0.17,0.37,2014-06-14
0.06,0.04,0,0,0.01,0.07,0,0,0.93,0.02,0,0,0,0,0.03,0.17,0.37,2014-06-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,2014-06-16
0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,2014-06-17
0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,2014-06-18
0.27,0.18,0.05,0.21,0.08,0.03,0,0.13,1.39,0.31,0.38,0,0,0.55,0.3,0.51,0.37,2014-06-19
0.27,0.18,0.05,0.21,0.08,0.03,0,0.13,1.39,0.31,0.38,0,0,0.55,0.3,0.51,0,2014-06-20
0,0.03,0.03,0,0.01,0,0,0,0,0.05,0.02,0,0,0.01,0.11,0.03,0,2014-06-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,2014-06-22
0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,2014-06-23
0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0.09,0,0,0,2014-06-24
0.99,0.01,0.29,0,0.04,0.38,0,0.4,0,0.59,0.04,0,0,0.09,1.68,0,0,2014-06-25
0.99,0.01,0.29,0,0.04,0.38,0,0.4,0.06,0.59,0.04,0,0,1.03,1.68,0.71,0,2014-06-26
0,0,0,0,0,0.01,0,0,0.06,0,0.04,0,0,1.03,0.03,0.71,0,2014-06-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-04
0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-05
0.05,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,2014-07-06
0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,2014-07-07
0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.05,0,2014-07-08
0.14,0.06,0,0,0.05,0,0,0,0,0,0,0.6,0,0,0,0,0,2014-07-09
0.14,0.06,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-10
0,0.04,0,0,0,0,0,0.01,0.02,0,0.18,0.15,0,0.59,0.27,0.08,0,2014-07-11
0,0,0,0,0,0,0,0.01,0.02,0,0.18,0.15,0,0.59,0.27,0.08,0,2014-07-12
0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,2014-07-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-14
