max(BL151_AccDaily),max(CO152_AccDaily),max(HA157_AccDaily),max(HA158_AccDaily),max(HA160_AccDaily),max(HA162_AccDaily),max(KE155_AccDaily),the_date
0,0,0,0,0,0,0,2014-02-14
0,0,0,0,0,0,0,2014-02-15
0,0,0,0,0,0,0,2014-02-16
0,0,0,0,0,0,0,2014-02-17
0,0,0,0,0,0,0,2014-02-18
0,0,0,0,0,0,0,2014-02-19
0,0,0,0,0,0,0,2014-02-20
0,0,0,0,0,0,0,2014-02-21
0,0,0,0,0,0,0,2014-02-22
0,0,0,0,0,0,0,2014-02-23
0,0,0,0,0,0,0,2014-02-24
0,0,0,0,0,0,0,2014-02-25
0.16,0.14,0.24,0.28,0.18,0.2,0.1,2014-02-26
0.16,0.14,0.24,0.28,0.18,0.2,0.1,2014-02-27
0,0,0,0,0,0,0,2014-02-28
0,0,0,0,0,0,0,2014-03-01
0.11,0.16,0.08,0.65,1.23,0.06,0.05,2014-03-02
0.11,0.16,0.08,0.65,1.23,0.06,0.05,2014-03-03
0,0.31,0.2,0.03,0.27,0.22,0.09,2014-03-04
0,0.31,0.2,0.03,0.27,0.22,0.09,2014-03-05
0,0,0,0,0,0,0,2014-03-06
0,0,0,0,0,0,0,2014-03-07
0.08,0.1,0.14,0.31,0.18,0.11,0.57,2014-03-08
0.08,0.18,0.46,0.32,0.45,0.44,0.57,2014-03-09
0.03,0.01,0.46,0.32,0.45,0.44,0.02,2014-03-10
0.03,0.03,0.01,0.02,0.03,0,0.02,2014-03-11
0.03,0.03,0.01,0.02,0.01,0,0,2014-03-12
0,0,0,0,0,0,0,2014-03-13
0,0,0,0,0,0,0,2014-03-14
0.03,0.01,0.03,0,0.03,0.07,0.03,2014-03-15
0.03,0,0.03,0,0.03,0.07,0.03,2014-03-16
0,0,0,0,0,0,0,2014-03-17
0,0.59,0.5,0.55,0.64,0.44,0,2014-03-18
0,0,0.5,0.55,0.64,0.44,0,2014-03-19
0,0,0,0,0.01,0.12,0,2014-03-20
0,0,0,0,0,0,0,2014-03-21
0,0,0,0,0,0,0,2014-03-22
0,0,0,0,0,0,0,2014-03-23
0,0,0,0,0,0,0,2014-03-24
0.56,0,0,0,0,0,0.56,2014-03-25
0.56,0,0,0,0,0,0.56,2014-03-26
0.02,0.02,0,0,0.04,0.03,0,2014-03-27
0.02,0.02,0,0,0.04,0.03,0,2014-03-28
0,0,0,0,0,0,0,2014-03-29
0,0,0,0,0,0,0,2014-03-30
0,0,0,0,0,0,0,2014-03-31
0,0,0,0,0,0,0,2014-04-01
0,0,0,0,0,0,0,2014-04-02
0,0,0,0,0,0,0,2014-04-03
0,0,0,0,0,0,0,2014-04-04
0,0,0,0,0,0,0,2014-04-05
0.03,0.02,0.04,0.06,0.06,0.07,0.23,2014-04-06
0.03,0,0.04,0.06,0.06,0.07,0.23,2014-04-07
0.15,0.05,0.14,0.09,0.05,0.12,0,2014-04-08
0.08,0.05,0.14,0.09,0.05,0.12,0,2014-04-09
0,0,0,0.02,0,0,0,2014-04-10
0,0,0,0.02,0,0,0,2014-04-11
0,0,0,0,0,0,0,2014-04-12
0,0,0,0,0,0,0,2014-04-13
1.29,0.06,0.19,0.23,0.13,0.03,1.19,2014-04-14
1.29,0,0.19,0.23,0.13,0.03,1.19,2014-04-15
0,0,0,0.01,0,0,0,2014-04-16
0,0,0.02,0.01,0.03,0,0,2014-04-17
0.03,0.05,0.08,0.07,0.06,0.05,0,2014-04-18
0.03,0.05,0.08,0.07,0.06,0.05,0,2014-04-19
0,0,0,0.03,0,0,0,2014-04-20
0,0,0,0.01,0,0,0,2014-04-21
0.01,0.01,0,0,0,0,0.45,2014-04-22
0.01,0.01,0,0,0,0,0.45,2014-04-23
0,0,0,0,0,0,0,2014-04-24
0,0,0,0,0,0,0,2014-04-25
0,0,0,0,0,0,0,2014-04-26
0,0,0,0,0,0,0,2014-04-27
0,0,0,0,0,0,0,2014-04-28
0,0,0,0,0,0,0,2014-04-29
0,0,0,0,0,0,0,2014-04-30
0,0,0,0,0,0,0,2014-05-01
0,0,0,0,0,0,0,2014-05-02
0,0,0,0,0,0,0,2014-05-03
0,0,0,0,0,0,0,2014-05-04
0,0,0,0,0,0,0,2014-05-05
0,0,0,0,0,0,0,2014-05-06
0,0,0,0,0,0,0,2014-05-07
0,0,0.43,0,0.59,0.09,0,2014-05-08
0,0.6,0.55,0.02,0.59,0.35,0,2014-05-09
0,0,0.55,0.02,0.52,0.35,0,2014-05-10
0,0,0,0,0,0,0,2014-05-11
0,0,0,0,0.01,0,0,2014-05-12
3.11,1.9,2.68,0.23,3.02,2.59,1.34,2014-05-13
3.11,0,2.68,0.23,3.02,2.59,1.34,2014-05-14
0,0,0,0,0,0,0,2014-05-15
0,0,0,0,0,0,0,2014-05-16
0,0,0,0,0,0,0,2014-05-17
0,0,0,0,0,0,0,2014-05-18
0,0,0,0,0,0,0,2014-05-19
0,0,0,0,0,0,0,2014-05-20
0,0,0,0,0,0,0,2014-05-21
0,0,0,0,0,0,0,2014-05-22
0,0,0.14,0.22,0.07,0,0,2014-05-23
0.05,0.29,0.62,0.22,0.07,0.01,0,2014-05-24
0.15,0.29,0.63,0,0,0.01,1.18,2014-05-25
1.39,1.24,1.08,0.23,1.4,1.24,1.47,2014-05-26
1.39,1.43,1.08,0.23,1.86,1.46,1.47,2014-05-27
