max(BA061_AccDaily),max(BA062_AccDaily),max(BA073_AccDaily),max(ED063_AccDaily),max(ED064_AccDaily),max(ED065_AccDaily),max(ED066_AccDaily),max(ED075_AccDaily),max(ED076_AccDaily),max(KE068_AccDaily),max(RE070_AccDaily),max(RE071_AccDaily),max(RE072_AccDaily),max(RE074_AccDaily),the_date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-12
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-13
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-14
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-15
0,0,0,0,0,0.03,0,0,1.73,0,0,0,0,0,2014-02-16
0,0,0,0,0,0.03,0,0,1.73,0,0,0,0,0,2014-02-17
0,0,0,0,0,0.01,0,0,1.73,0,0,0,0,0,2014-02-18
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-19
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-20
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-21
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-22
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-23
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-24
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-02-25
0.19,0.21,0.21,0.59,0.3,0.38,0.21,0.19,1.73,0.11,0.39,0.41,0.21,0.17,2014-02-26
0.19,0.21,0.21,0.59,0.3,0.38,0.21,0.19,1.73,0.11,0.39,0.41,0.21,0.17,2014-02-27
0,0.01,0,0,0,0,0,0.02,1.73,0,0,0,0,0,2014-02-28
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-01
0.06,0.05,0,0.02,0,0.02,0.07,0.01,1.73,0.07,0,0,0,0,2014-03-02
0.06,0.05,0,0.02,0,0.02,0.07,0.01,1.73,0.07,0,0.01,0,0,2014-03-03
0.03,0.01,0.05,0,0,0,0,0.1,1.73,0.01,0,0.01,0,0,2014-03-04
0.03,0,0.05,0,0,0,0,0.1,1.73,0.01,0,0,0,0,2014-03-05
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-06
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-07
0,0,0,0,0,0,0,0,1.73,0.01,0,0,0,0,2014-03-08
0,0,0,0,0,0,0,0,1.73,0.01,0,0,0,0,2014-03-09
0.03,0,0,0.08,0,0.03,0,0,1.73,0.03,0,0,0,0,2014-03-10
0.03,0,0,0.08,0,0.03,0,0,1.73,0.03,0,0,0,0,2014-03-11
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-12
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-13
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-14
0,0,0,0,0,0.01,0,0,1.73,0.01,0,0,0,0.01,2014-03-15
0,0,0,0,0,0.01,0,0,1.73,0.01,0,0,0,0.01,2014-03-16
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0.01,2014-03-17
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-18
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-19
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-20
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-21
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-22
0,0,0,0,0.02,0.02,0.01,0,1.73,0,0,0,0,0.01,2014-03-23
0,0,0,0,0.02,0.02,0.01,0,1.73,0,0,0,0,0.01,2014-03-24
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-25
0.03,0,0,0,0,0.01,0,0,1.73,0,0,0,0,0,2014-03-26
0.11,0.18,0.02,0.03,0,0.07,0,0,1.73,0,0,0,0,0,2014-03-27
0.11,0.18,0.02,0.03,0,0.07,0,0,1.73,0.59,0,0,0,0,2014-03-28
0,0.01,0,0,0,0,0,0,1.73,0.59,0,0,0,0,2014-03-29
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-30
0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,2014-03-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-01
0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,2014-04-02
0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2014-04-03
0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0.17,2014-04-04
0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0.17,2014-04-05
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,2014-04-06
0,0,0.52,0,0.03,0.02,0,0.05,0,0.01,0,0,0,0,2014-04-07
0,0,0.52,0,0.03,0.02,0,0.05,0,0,0,0,0,0,2014-04-08
0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-04-09
0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-04-10
0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-04-11
0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,2014-04-12
0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,2014-04-13
0.01,0,0.23,0,0,0,0.01,0,0,1.15,0,0,0,0,2014-04-14
0.01,0,0.23,0,0,0,0,0,0,1.15,0,0,0,0,2014-04-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-19
0.05,0,0.04,0.13,0.01,0.18,0.02,0,0,0,0,0,0,0,2014-04-20
0.05,0.01,0.04,0.13,0.01,0.18,0.02,0,0,0,0,0,0,0,2014-04-21
0.05,0.01,0.23,0,0.03,0.04,0,0.24,0,0.09,0,0,0.14,0.06,2014-04-22
0,0.02,0.23,0,0.03,0,0,0.24,0,0.09,0,0,0.14,0.06,2014-04-23
0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,2014-04-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-04-27
0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,2014-04-28
0.55,0,0,0,0,0,0,0,0,0,0.3,0.26,0,0,2014-04-29
0.55,0,0,0,0,0,0,0,0,0,0.3,0.26,0,0,2014-04-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-07
0,0,0,0,0.09,0.07,0,0,0,0,0,0,0,0.06,2014-05-08
1.17,0.62,0.93,0.96,0.09,0.14,0.57,0,0,0.17,1.27,0,0.39,0.06,2014-05-09
1.17,0.62,0.93,0.96,0,0.14,0.57,0,0,0.17,1.27,0,0.39,0.01,2014-05-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2014-05-11
0,0.04,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,2014-05-12
0.97,1.5,0.23,0.19,0.32,0.03,0,0.02,0.01,2.78,0.51,0,0.21,0.45,2014-05-13
0.97,1.5,0.23,0.19,0.32,0.03,0.02,0,0.01,2.78,0.51,0,0.21,0.45,2014-05-14
0,0,0,0.19,0,0,0,0,0.01,0,0,0,0,0,2014-05-15
0,0,0,0.19,0.25,0,0,0.3,0.01,0,0.52,0,0,0.61,2014-05-16
0,0,0,0.19,0.25,0,0,0.3,0.01,0,0.52,0,0,0.61,2014-05-17
0,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0,2014-05-18
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-05-19
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-05-20
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-05-21
0.02,0,0,0,0,0.04,0,0,0.01,0,0,0,0,0,2014-05-22
0.09,0.03,0.03,0.08,0,0.04,0,0,0.01,0.03,0.01,0,0.02,0,2014-05-23
0.09,0.08,0.03,0.08,0,0.08,0,0,0.01,0.13,0.01,0,0.02,0,2014-05-24
0.98,1.16,0.74,0.55,0.94,0.42,0.22,0.23,0.01,1,2.05,0,0.95,0.97,2014-05-25
2.36,3.48,0.74,1.33,1.26,0.96,0.76,0.23,0.01,1,2.33,0,1.7,1.21,2014-05-26
2.36,3.48,0.7,1.05,1.26,0.96,0.76,0,0.01,1,2.33,0,1.7,1.21,2014-05-27
0.05,0.06,0.02,0.01,0,0.02,0,0,0.01,0.9,0.01,0,0,0.03,2014-05-28
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-05-29
0,0,0,0,0,0,0.55,0.03,0.01,0,0,0.3,0,0,2014-05-30
0,0,0,0,0,0,0.55,0.03,0.01,0,0,0.3,0,0,2014-05-31
0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,2014-06-01
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-02
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-03
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-04
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-05
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-06
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-07
0,0.05,0,0,0.09,0,0,0,0.01,0,0.01,0,0,0.03,2014-06-08
0.12,0.23,0.23,0,0.11,0.02,0.03,0.12,0.01,0.47,0.07,0.15,0.08,0.23,2014-06-09
0.12,0.23,0.23,0,0.11,0.02,0.03,0.12,0.01,0.47,0.07,0.15,0.08,0.23,2014-06-10
0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,2014-06-11
0,0,0.02,0,0,0,0,0.03,0.01,0,0,0,0,0,2014-06-12
0.01,0.07,0.18,0.42,0.01,1.11,0.07,0.23,0.01,0.03,2.07,0.79,0.76,0.12,2014-06-13
0.5,0.39,0.18,0.42,0.26,1.11,0.18,0.23,0.01,0.03,2.07,0.79,0.76,0.16,2014-06-14
0.5,0.39,0,0.13,0.26,0.14,0.18,0.16,0.01,0.01,0.21,0.1,0.34,0.16,2014-06-15
0,0,0,0,0,0,0,0.16,0.01,0,0,0,0,0,2014-06-16
0,0,0.01,0,0,0.01,0,0.03,0.01,0,0,0.06,0,0,2014-06-17
0,0,0.01,0,0,0.01,0,0.03,0.01,0,0,0.06,0,0,2014-06-18
0.63,0,0.9,0,0,0.02,0,0.02,0.01,0.01,0,0,0,0,2014-06-19
0.63,0.03,0.9,0.37,0.6,0.66,0.81,0.23,0.01,0.01,0.38,0.2,0.37,0.39,2014-06-20
0,0.03,0.3,0.37,0.7,0.66,0.81,0.23,0.01,0,0.63,0.36,0.46,0.39,2014-06-21
0,0.02,0,0.27,0.7,0.61,0.71,0,0.01,0,0.63,0.36,0.46,0.27,2014-06-22
0.03,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-06-23
0.03,0.03,0,0,0.08,0,0.38,0,0.01,0,0.01,0,0.01,0.34,2014-06-24
0,0.3,0,0.09,0.08,0.01,0.38,0,0.01,0,0.01,0,0.01,0.34,2014-06-25
0,0.29,0.06,0.03,0.01,0.52,0,0,0.01,0,1.37,0.43,0.18,0.17,2014-06-26
0,0.29,0.06,0.03,0.01,0.52,0,0,0.01,0,1.37,0.43,0.18,0.17,2014-06-27
0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,0,2014-06-28
0,0,0.01,0,0,0,0,0.03,0.01,0,0,0,0,0,2014-06-29
0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,2014-06-30
0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,2014-07-01
0,0,0,0.57,0,0.57,0,0.01,0.01,0,0,0,0.54,0,2014-07-02
0,0,0,0.57,0,0.57,0,0.01,0.01,0,0,0,0.54,0,2014-07-03
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-04
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-05
0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-06
0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-07
0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-08
0,0,0,0,0,0,0,0,0.01,0,0,0.12,0.26,0,2014-07-09
0,0,0,0,0,0,0,0,0.01,0,0,0.12,0.26,0,2014-07-10
0.08,0.01,0,0.83,0.22,0.46,0.19,0.2,0.01,0,0.3,0.16,0.57,0.05,2014-07-11
0.08,0.01,0,0.83,0.22,0.46,0.19,0.2,0.01,0,0.3,0.16,0.57,0.05,2014-07-12
0,0.01,0,0,0,0,0,0.04,0.01,0,0,0,0,0,2014-07-13
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-14
0.01,0.39,1,0.91,0,0.28,0.16,0.02,0.01,0.52,0,0.16,0.3,0.04,2014-07-15
0.01,0.39,1,0.91,0,0.28,0.16,0.02,0.01,0.52,0,0.16,0.3,0.04,2014-07-16
0.11,0.08,0.14,0.2,0.18,0.28,0.3,0.19,0.01,0,0.16,0.16,0.11,0.15,2014-07-17
0.11,0.08,0.14,0.2,0.18,0.28,1.21,0.19,0.01,0.16,0.17,0.26,0.11,0.15,2014-07-18
0,0,0.06,0,0.02,0.02,1.21,0.1,0.01,0.16,0.03,0.26,0,0.02,2014-07-19
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-20
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-21
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-22
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2014-07-23
0.21,0,0,0.02,0.02,0.07,0,0,0.01,0,0,0,0.05,0.14,2014-07-24
0.21,0,0,0.02,0.02,0.27,0.26,0,0,0,0,0,0.27,0.14,2014-07-25
0,0,0,0,0,0.27,0.26,0,0,0,0,0,0.27,0,2014-07-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-30
0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,2014-07-31
0,0,0,0.6,0,0,0.03,0,0,0,0,0,0,0,2014-08-01
0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,2014-08-02
0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,2014-08-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-10
0,0,0.04,0,0,0.04,0,0,0,0.05,0,0,0.06,0.08,2014-08-11
0.52,0.33,0.36,0,0.23,0.99,0.19,0.23,0,0.05,0.37,0.05,0.87,0.18,2014-08-12
0.52,0.33,0.36,0,0.23,0.99,0.19,0.23,0,0,0.37,0.05,0.87,0.18,2014-08-13
0,0,0,0,0,0,0.02,0.01,0,0,0.02,0.03,0,0,2014-08-14
0,0,0,0.51,0.25,0,0,0.01,0,0,0,0,0,0,2014-08-15
0,0,0,0.51,0.25,0,0,0,0,0,0,0,0,0,2014-08-16
0,0,0,0,0.6,0.33,0.4,0.23,0,0,0,0,0.06,0,2014-08-17
0,0,0,0,0.62,0.33,0.4,0.23,0,0,0.02,0,0.06,0.89,2014-08-18
2.17,1.5,2.1,1.26,1.99,1.08,0.31,0.23,0,1.86,1.26,0.87,1.29,1.31,2014-08-19
